car_id,symboling,carname,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
198,-1,volvo 245,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0
68,-1,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0
137,3,saab 99gle,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0
135,3,saab 99le,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0
122,1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0
18,0,bmw x3,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0
205,-1,volvo 264gl,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0
37,0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0
183,2,vokswagen rabbit,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,four,97,idi,3.01,3.4,23.0,52,4800,37,46,7775.0
177,-1,toyota corolla,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414.0,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0
149,0,subaru dl,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0
59,3,mazda glc 4,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0
190,3,vw dasher,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254.0,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595.0
196,-1,volvo 144ea,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0
90,1,Nissan versa,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0
61,0,mazda glc custom l,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0
139,2,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0
82,3,mitsubishi g4,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0
173,2,toyota cressida,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0
146,0,subaru r2,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0
100,0,nissan rogue,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0
116,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0
33,1,honda civic,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0
95,1,nissan leaf,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0
112,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0
192,0,volkswagen rabbit,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0
197,-2,volvo 244dl,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0
110,0,peugeot 504 (sw),gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0
49,0,jaguar xf,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0
169,2,toyota corolla,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536.0,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0
124,-1,plymouth valiant,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0
129,3,porsche boxter,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0
34,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0
27,1,dodge colt (sw),gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0
43,1,honda civic (auto),gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0
126,3,porsche macan,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0
96,1,nissan juke,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0
6,2,audi fox,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0
166,1,toyota celica gt liftback,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0
56,3,mazda 626,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0
77,2,mitsubishi mirage,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0
14,0,bmw x3,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0
144,0,subaru baja,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0
162,0,toyota corolla,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122.0,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0
174,-1,toyota corolla,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0
117,0,peugeot 504,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0
120,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0
81,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0
114,0,peugeot 504,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0
171,2,toyota tercel,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0
119,1,plymouth fury iii,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0
202,-1,volvo 144ea,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0
50,0,jaguar xk,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0
161,0,toyota corona,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094.0,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0
118,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0
151,1,toyota corona mark ii,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0
179,3,toyota corolla liftback,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976.0,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0
74,0,buick century special,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0
136,2,saab 99gle,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0
15,1,bmw z4,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0
38,0,honda accord,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0
108,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0
191,3,vw rabbit,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0
194,0,volkswagen dasher,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,four,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0
201,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0
17,0,bmw x5,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
203,-1,volvo 244dl,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0
134,2,saab 99le,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0
156,0,toyota carina,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0
57,3,mazda glc,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0
180,3,toyota corona,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.168
204,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,six,145,idi,3.01,3.4,23.0,106,4800,26,27,22470.0
60,1,mazda 626,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5
42,0,honda civic,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0
80,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0
143,0,subaru brz,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0
97,1,nissan latio,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0
78,2,mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0
65,0,mazda 626,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0
48,0,jaguar xj,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0
